	KR1101	KR11Aug	KR11July	KR11June	KR11May	KR11Nov1	KR11Nov2	KR11Sept1	KR11Sept2	KR11Sept3	KR1301	KR13Aug	KR13July	KR13June	KR13May	KR13Nov1	KR13Nov2	KR13Sept1	KR13Sept2	KR13Sept3	KR4601	KR46Aug	KR46June	KR46May	KR46Nov	KR46Sept
ASV_1	2658	23833	8675	17202	5328	13691	17954	51618	24616	27746	825	1013	1230	741	844	24389	25846	5117	3423	3994	28	11	8	13	13	73
ASV_2	22	529	52	112	50	26	32	83	36	10	5	4	6	3	36	9	4	3	14	10	25494	19869	33722	27766	23454	40189
ASV_3	13957	2947	1048	1269	4900	4567	4087	5656	5246	774	14166	5105	1988	5205	5543	6886	7863	8636	4376	7668	4	5	1	18	7	8
ASV_4	3	112	2	112	22	8	4	12	12	7	0	0	1	1	11	3	1	1	2	1	18753	7262	13351	16847	13384	14461
ASV_5	4201	3880	4837	1654	2352	5941	4048	3917	3095	2104	1061	5951	9630	5931	3111	2770	3619	5503	4019	6244	27	8	12	6	6	13
ASV_6	260	4475	4540	41871	17684	603	883	1652	4157	6395	0	69	210	102	148	30	44	63	56	59	35	6	1	0	5	1
ASV_7	7079	8205	2951	2565	12753	9067	9530	11294	11481	2972	27	107	50	36	81	177	198	159	134	252	2	0	1	1	8	2
ASV_8	125	280	270	451	241	944	733	578	329	247	429	9644	8376	6815	13654	4188	7150	6025	6860	7849	2	3	1	3	0	8
ASV_9	1	1	4	2	4	1	0	2	4	0	493	6089	12933	12087	14041	6604	4019	4886	4562	5783	2	1	6	20	2	5
ASV_10	297	528	565	239	319	477	341	369	291	198	25	1	1	0	19	6	1	2	3	1	15064	8680	8666	8756	9324	17124
ASV_11	4519	3913	9305	1348	686	2503	3028	8461	10320	18324	0	7	22	8	21	65	7	7	29	23	3	2	0	1	1	1
ASV_12	29	81	39	53	29	33	36	50	35	23	1	112	407	90	45	269	223	241	209	345	4855	9667	16626	16070	4415	4467
ASV_13	185	1939	22944	12140	2387	890	1169	1113	1121	6711	2	17	67	35	92	47	27	37	174	92	6	2	19	0	6	1
ASV_14	4	114	12	3	4	0	1	13	3	2	0	1	0	0	7	5	1	0	0	4	5020	8244	8145	10584	11138	6349
ASV_15	2	1	3	2	4	4	0	1	3	0	1380	4430	4709	3836	5501	3012	4879	1785	11020	6313	0	1	2	1	4	3
ASV_16	20	92	34	83	78	80	56	89	51	18	12	19	32	28	44	59	54	56	611	253	2732	21489	3126	3237	1787	5794
ASV_17	2073	1061	4617	4709	818	7697	10392	2050	2009	3399	0	5	11	8	6	6	18	3	49	40	2	0	0	0	0	7
